2018 Rank,City,State,2018 Estimate,2010 Census,Change %,2016 land area(sq mi),2016 land area (km sq),2016 population density (/sq mi),2016 population density (/km sq),Location,Summary,Latitude,Longitude
24,Nashville,Tennessee,669053,601222,+11.28,475.9  ,"1,232.6 ","1,388 ",536, ﻿36.1718°N 86.7850°W,"Nashville is the capital and most populous city of the U.S. state of Tennessee. The city is the county seat of Davidson County and is located on the Cumberland River. The city's population ranks 24th in the U.S. According to 2017 estimates from the U.S. Census Bureau, the total consolidated city-county population stood at 691,243. The ""balance"" population, which excludes semi-independent municipalities within Davidson County, was 667,560 in 2017.Located in northern Middle Tennessee, Nashville is the major city of the largest metropolitan area in Tennessee. The 2017 population of the entire 14-county Nashville metropolitan area was 1,903,045. The 2017 population of the Nashville–Davidson–Murfreesboro–Columbia combined statistical area, a larger trade area, was 2,027,489.Named for Francis Nash, a general of the Continental Army during the American Revolutionary War, the city was founded in 1779. The city grew quickly due to its strategic location as a port on the Cumberland River and, in the 19th century, a railroad center. Nashville seceded with Tennessee during the American Civil War; in 1862 it was the first state capital in the Confederacy to fall to Union troops. After the war, the city reclaimed its position and developed a manufacturing base.
Since 1963, Nashville has had a consolidated city-county government, which includes six smaller municipalities in a two-tier system. The city is governed by a mayor, a vice-mayor, and a 40-member metropolitan council; 35 of the members are elected from single-member districts, while the other five are elected at-large. Reflecting the city's position in state government, Nashville is home to the Tennessee Supreme Court's courthouse for Middle Tennessee, one of the three divisions.
Nashville is a center for the music, healthcare, publishing, private prison, banking. and transportation industries. It is home to numerous colleges and universities, such as Tennessee State University, Vanderbilt University, Belmont University, Fisk University, and Lipscomb University. Entities with headquarters in the city include Asurion, Bridgestone Americas, Captain D's, CoreCivic, Dollar General, Hospital Corporation of America, LifeWay Christian Resources, Logan's Roadhouse, and Ryman Hospitality Properties.", ﻿36.1718,86.7850
25,Portland,Oregon,653115,583776,+11.88,133.5  ,345.8 ,"4,793 ","1,851", ﻿45.5370°N 122.6500°W,Summary not be fetched due to disambiguation, ﻿45.5370,122.6500
26,Memphis,Tennessee,650618,646889,+0.58,317.4  ,822.1 ,"2,056 ",794, ﻿35.1028°N 89.9774°W,Summary not be fetched due to disambiguation, ﻿35.1028,89.9774
27,Oklahoma City,Oklahoma,649021,579999,+11.90,606.3  ,"1,570.3 ","1,053 ",407, ﻿35.4671°N 97.5137°W,"Oklahoma City (), often shortened to OKC, is the capital and largest city of the U.S. state of Oklahoma. The county seat of Oklahoma County, the city ranks 27th among United States cities in population. The population grew following the 2010 Census, with the population estimated to have increased to 649,021 as of July 2018. The Oklahoma City metropolitan area had a population of 1,396,445, and the Oklahoma City-Shawnee Combined Statistical Area had a population of 1,469,124 residents, making it Oklahoma's largest municipality and metropolitan area by population.   
Oklahoma City's city limits extend somewhat into Canadian, Cleveland, and Pottawatomie counties, though much of those areas outside the core Oklahoma County area are suburban tracts or protected rural zones (watershed). The city ranks as the ninth-largest city in the United States by total area when including consolidated city-counties; it is the second largest city in the United States by total area, after Houston, when not including consolidated cities.
Lying in the Great Plains region, Oklahoma City has one of the world's largest livestock markets. Oil, natural gas, petroleum products and related industries are the largest sector of the local economy. The city is in the middle of an active oil field and oil derricks dot the capitol grounds. The federal government employs large numbers of workers at Tinker Air Force Base and the United States Department of Transportation's Mike Monroney Aeronautical Center (these two sites house several offices of the Federal Aviation Administration and the Transportation Department's Enterprise Service Center, respectively).
Oklahoma City is on the I-35 Corridor, which is one of the primary travel corridors south into neighboring Texas and Mexico and north towards Wichita and Kansas City. Located in the state's Frontier Country region, the city's northeast section lies in an ecological region known as the Cross Timbers. The city was founded during the Land Run of 1889 and grew to a population of over 10,000 within hours of its founding. The city was the scene of the April 19, 1995 bombing of the Alfred P. Murrah Federal Building, in which 168 people died. It was the deadliest terror attack in the history of the United States until the attacks of September 11, 2001, and remains the deadliest act of domestic terrorism in U.S. history.
Since the time weather records have been kept, Oklahoma City has been struck by thirteen strong tornadoes; eleven of these tornadoes were rated F4 or EF4 on the Fujita and Enhanced Fujita scales, and two were rated F5 or EF5.Since 2008, Oklahoma City has been home to the National Basketball Association (NBA)'s Oklahoma City Thunder, who play their home games at the Chesapeake Energy Arena.", ﻿35.4671,97.5137
28,Las Vegas,Nevada,644644,583756,+10.43,134.4  ,348.1 ,"4,709 ","1,818", ﻿36.2292°N 115.2601°W,"Las Vegas (, Spanish for ""The Meadows""; Spanish: [laz ˈβeɣas]), officially the City of Las Vegas and often known simply as Vegas, is the 28th-most populated city in the United States, the most populated city in the state of Nevada, and the county seat of Clark County. The city anchors the Las Vegas Valley metropolitan area and is the largest city within the greater Mojave Desert. Las Vegas is an internationally renowned major resort city, known primarily for its gambling, shopping, fine dining, entertainment, and nightlife. The Las Vegas Valley as a whole serves as the leading financial, commercial, and cultural center for Nevada.
The city bills itself as The Entertainment Capital of the World, and is famous for its mega casino–hotels and associated activities. It is a top three destination in the United States for business conventions and a global leader in the hospitality industry, claiming more AAA Five Diamond hotels than any other city in the world. Today, Las Vegas annually ranks as one of the world's most visited tourist destinations. The city's tolerance for numerous forms of adult entertainment earned it the title of Sin City, and has made Las Vegas a popular setting for literature, films, television programs, and music videos.
Las Vegas was settled in 1905 and officially incorporated in 1911. At the close of the 20th century, it was the most populated American city founded within that century (a similar distinction earned by Chicago in the 1800s). Population growth has accelerated since the 1960s, and between 1990 and 2000 the population nearly doubled, increasing by 85.2%. Rapid growth has continued into the 21st century, and according to a 2018 estimate, the population is 648,224 with a regional population of 2,227,053.As with most major metropolitan areas, the name of the primary city (""Las Vegas"" in this case) is often used to describe areas beyond official city limits. In the case of Las Vegas, this especially applies to the areas on and near the Las Vegas Strip, which is actually located within the unincorporated communities of Paradise and Winchester.", ﻿36.2292,115.2601
29,Louisville,Kentucky,620118,597337,+3.81,263.5  ,682.5 ,"2,339 ",903, ﻿38.1654°N 85.6474°W,"Louisville ( (listen) LOO-ə-vəl,  (listen) LOO-ee-vil,  (listen) LUUV-əl) is the largest city in the Commonwealth of Kentucky and the 29th most-populous city in the United States. It is one of two cities in Kentucky designated as first-class, the other being Lexington, the state's second-largest city. Louisville is the historical seat and, since 2003, the nominal seat of Jefferson County, located in the northern region of the state, on the border with Indiana.
Louisville, named for King Louis XVI of France, was founded in 1778 by George Rogers Clark, making it one of the oldest cities west of the Appalachian Mountains. Sited beside the Falls of the Ohio, the only major obstruction to river traffic between the upper Ohio River and the Gulf of Mexico, the settlement first grew as a portage site. It was the founding city of the Louisville and Nashville Railroad, which grew into a 6,000-mile (9,700 km) system across 13 states.
Today, the city is known as the home of legendary boxer Muhammad Ali, the Kentucky Derby, Kentucky Fried Chicken (KFC), the University of Louisville and its Louisville Cardinals athletic teams, Louisville Slugger baseball bats, and three of Kentucky's six Fortune 500 companies, being Humana, Kindred Healthcare and Yum! Brands. Its main airport is also the site of United Parcel Service's worldwide air hub.
Since 2003, Louisville's borders have been the same as those of Jefferson County, after a city-county merger. The official name of this consolidated city-county government is the Louisville/Jefferson County Metro Government, abbreviated to Louisville Metro. Despite the merger and renaming, the term ""Jefferson County"" continues to be used in some contexts in reference to Louisville Metro, particularly including the incorporated cities outside the ""balance"" which make up Louisville proper. The city's total consolidated population as of the 2017 census estimate was 771,158. However, the balance total of 621,349 excludes other incorporated places and semiautonomous towns within the county and is the population listed in most sources and national rankings.
The Louisville-Jefferson County, KY-IN Metropolitan Statistical Area (MSA), sometimes also referred to as Kentuckiana, includes Louisville-Jefferson County and 12 surrounding counties, seven in Kentucky and five in Southern Indiana. As of 2017, the MSA had a population of 1,293,953, ranking 45th nationally.", ﻿38.1654,85.6474
30,Baltimore,Maryland,602495,620961,−2.97,80.9  ,209.5 ,"7,598 ","2,934", ﻿39.3000°N 76.6105°W,"Baltimore () is the largest city in the state of Maryland within the United States. Baltimore was established by the Constitution of Maryland as an independent city in 1729. With a population of 602,495 in 2018, Baltimore is the largest such independent city in the United States.  As of 2017, the population of the Baltimore metropolitan area was estimated to be just under 2.802 million, making it the 21st largest metropolitan area in the country. Baltimore is located about 40 miles (60 km) northeast of Washington, D.C., making it a principal city in the Washington-Baltimore combined statistical area (CSA), the fourth-largest CSA in the nation, with a calculated 2018 population of 9,797,063.Baltimore is also the second-largest seaport in the Mid-Atlantic. The city's Inner Harbor was once the second leading port of entry for immigrants to the United States. In addition, Baltimore was a major manufacturing center. After a decline in major manufacturing, heavy industry, and restructuring of the rail industry, Baltimore has shifted to a service-oriented economy. Johns Hopkins Hospital (founded 1889) and Johns Hopkins University (founded 1876) are the city's top two employers.With hundreds of identified districts, Baltimore has been dubbed a ""city of neighborhoods."" Famous residents have included writers Edgar Allan Poe, Edith Hamilton, Frederick Douglass, Ogden Nash, and H. L. Mencken; jazz musician James ""Eubie"" Blake; singer Billie Holiday; actor and filmmakers John Waters and Barry Levinson; and baseball player Babe Ruth. During the War of 1812, Francis Scott Key wrote ""The Star-Spangled Banner"" in Baltimore after the bombardment of Fort McHenry. His poem was set to music and popularized as a song; in 1931 it was designated as the American national anthem.Baltimore has more public statues and monuments per capita than any other city in the country, and is home to some of the earliest National Register Historic Districts in the nation, including Fell's Point, Federal Hill, and Mount Vernon. These were added to the National Register between 1969 and 1971, soon after historic preservation legislation was passed. Nearly one third of the city's buildings (over 65,000) are designated as historic in the National Register, which is more than any other U.S. city.", ﻿39.3000,76.6105
31,Milwaukee,Wisconsin,592025,594833,−0.47,96.2  ,249.2 ,"6,186 ","2,388", ﻿43.0633°N 87.9667°W,"Milwaukee (, locally ) is the largest city in the state of Wisconsin and the fifth-largest city in the Midwestern United States.  The seat of the eponymous county, it is on Lake Michigan's western shore. Ranked by its estimated 2014 population, Milwaukee was the 31st largest city in the United States. The city's estimated population in 2017 was 595,351. Milwaukee is the main cultural and economic center of the Milwaukee metropolitan area which had a population of 2,043,904 in the 2014 census estimate. It is the second-most densely populated metropolitan area in the Midwest, surpassed only by Chicago. Milwaukee is considered a Gamma global city as categorized by the Globalization and World Cities Research Network with a regional GDP of over $105 billion. 
The first Europeans to pass through the area were French Catholic Jesuit missionaries, who were ministering to Native Americans, and fur traders. In 1818, the French Canadian explorer Solomon Juneau settled in the area, and in 1846, Juneau's town combined with two neighboring towns to incorporate as the city of Milwaukee. Large numbers of German immigrants arrived during the late 1840s, after the German revolutions, with Poles and other eastern European immigrants arriving in the following decades. Milwaukee is known for its brewing traditions, begun with the German immigrants.
Beginning in the early 21st century, the city has been undergoing its largest construction boom since the 1960s. Major new additions to the city in the past two decades include the Milwaukee Riverwalk, the Wisconsin Center, Miller Park, the Milwaukee Streetcar, an expansion to the Milwaukee Art Museum, Milwaukee Repertory Theater, and Pier Wisconsin, as well as major renovations to the UW–Milwaukee Panther Arena. The Fiserv Forum opened in late 2018.", ﻿43.0633,87.9667
32,Albuquerque,New Mexico,560218,545852,+2.63,188.2  ,487.4 ,"2,972 ","1,147", ﻿35.1056°N 106.6474°W,"Albuquerque ( (listen) AL-bə-kur-kee; Navajo: Beeʼeldííl Dahsinil [pèːʔèltíːl tɑ̀xsɪ̀nɪ̀l]; Eastern Keres: Arawageeki; Jemez: Vakêêke; Zuni: Alo:ke:k'ya; Jicarilla Apache: Gołgéeki'yé), also known locally as Duke City and abbreviated as ABQ, is the most populous city in the U.S. state of New Mexico and the 32nd-most populous city in the United States, with a census-estimated population of 558,545 in 2017. It is the principal city of the Albuquerque metropolitan area, which has 915,927 residents as of July 2018. Albuquerque's Metropolitan statistical area is the 60th-largest in the United States. The Albuquerque MSA population includes the cities of Rio Rancho, Bernalillo, Placitas, Corrales, Los Lunas, Belen, and Bosque Farms, and forms part of the larger Albuquerque–Santa Fe–Las Vegas combined statistical area, with a total population of 1,171,991 in 2016.
The city was named in honor of Francisco Fernández de la Cueva, 10th Duke of Alburquerque, who was Viceroy of New Spain from 1702 to 1711. The growing village was named by provincial governor Francisco Cuervo y Valdés. The Duke's title referred to the Spanish town of Alburquerque, in the province of Badajoz, near the border with Portugal.
Albuquerque serves as the county seat of Bernalillo County, and is in north-central New Mexico. The Sandia Mountains run along the eastern side of Albuquerque, and the Rio Grande flows through the city. Albuquerque has one of the highest elevations of any major city in the U.S., ranging from 4,900 feet (1,490 m) above sea level near the Rio Grande to over 6,700 feet (1,950 m) in the foothill areas of Sandia Heights and Glenwood Hills.
Albuquerque is home to Kirtland Air Force Base, Sandia National Laboratories, the National Museum of Nuclear Science & History, Lovelace Respiratory Research Institute, the University of New Mexico, Central New Mexico Community College, Presbyterian Medical Services, Presbyterian Health Services, the New Mexico Museum of Natural History and Science, Albuquerque Biological Park, the Petroglyph National Monument, and the New Mexico Technology Corridor, a concentration of high-tech private companies and government institutions. Albuquerque is also the home of the International Balloon Fiesta, the world's largest gathering of hot-air balloons, taking place every October.", ﻿35.1056,106.6474
33,Tucson,Arizona,545975,520116,+4.97,230.8  ,597.8 ,"2,299 ",888, ﻿32.1531°N 110.8706°W,"Tucson () is a city and the county seat of Pima County, Arizona, United States, and home to the University of Arizona. The 2010 United States Census put the population at 520,116, while the 2015 estimated population of the entire Tucson metropolitan statistical area (MSA) was 980,263. The Tucson MSA forms part of the larger Tucson-Nogales combined statistical area (CSA), with a total population of 1,010,025 as of the 2010 Census. Tucson is the second-largest populated city in Arizona behind Phoenix, both of which anchor the Arizona Sun Corridor. The city is 108 miles (174 km) southeast of Phoenix and 60 mi (97 km) north of the U.S.–Mexico border. Tucson is the 33rd largest city and the 58th largest metropolitan area in the United States (2014).
Major incorporated suburbs of Tucson include Oro Valley and Marana northwest of the city, Sahuarita south of the city, and South Tucson in an enclave south of downtown. Communities in the vicinity of Tucson (some within or overlapping the city limits) include Casas Adobes, Catalina Foothills, Flowing Wells, Midvale Park, Tanque Verde, Tortolita, and Vail. Towns outside the Tucson metro area include Benson to the southeast, Catalina and Oracle to the north, and Green Valley to the south.
The Spanish name of the city, Tucsón [tukˈson], is derived from the O'odham Cuk Ṣon [tʃʊk ʂɔːn], meaning ""(at the) base of the black [hill]"", a reference to a basalt-covered hill now known as Sentinel Peak. Tucson is sometimes referred to as ""The Old Pueblo"".", ﻿32.1531,110.8706
34,Fresno,California,530093,494665,+7.16,114.4  ,296.3 ,"4,563 ","1,762", ﻿36.7836°N 119.7934°W,"Fresno ( FREZ-noh; Spanish for ""ash tree"") is a city in California, United States, and the county seat of Fresno County. It covers about 112 square miles (290 km2) in the center of the San Joaquin Valley, the southern portion of California's Central Valley.
Named for the abundant ash trees lining the San Joaquin River, Fresno was founded in 1872 as a railway station of the Central Pacific Railroad before it was incorporated in 1885. The city has since become an economic hub of Fresno County and the San Joaquin Valley, with much of the surrounding areas in the Metropolitan Fresno region predominantly tied to large-scale agricultural production.
The population of Fresno grew from a 1960 census population of 134,000 to a 2000 census population of 428,000. With a census-estimated 2017 population of 527,438, Fresno is the fifth-most populous city in California, the most populous city in the Central Valley, the most populous inland city in California, and the 34th-most populous city in the nation.
Fresno is near the geographical center of California. It lies approximately 220 miles (350 km) north of Los Angeles, 170 miles (270 km) south of the state capital, Sacramento, and 185 miles (300 km) southeast of San Francisco. Yosemite National Park is about 60 miles (100 km) to the north, Kings Canyon National Park is 60 miles (100 km) to the east, and Sequoia National Park is 75 miles (120 km) to the southeast.", ﻿36.7836,119.7934
35,Mesa,Arizona,508958,439041,+15.92,137.9  ,357.2 ,"3,514 ","1,357", ﻿33.4019°N 111.7174°W,"Mesa (Spanish, Portuguese and  Sardinian for table) is the American English term for tableland, an elevated area of land with a flat top and sides that are usually steep cliffs. It takes its name from its characteristic table-top shape. It may also be called a table hill, table-topped hill or table mountain. It is larger than a butte, which it otherwise resembles closely.
It is a characteristic landform of arid environments, particularly the Western and Southwestern United States in badlands and mountainous regions ranging from Washington and California to the Dakotas, Wyoming, Utah, Oklahoma, and Texas. Examples are also found in many other nations including Spain, Sardinia, North and South Africa, Arabia, India, and Australia.
Grand Mesa is a large mesa located in western Colorado in the Southwest United States. Cerro Negro is a mesa in Argentina.", ﻿33.4019,111.7174
36,Sacramento,California,508529,466488,+9.01,97.9  ,253.6 ,"5,059 ","1,953", ﻿38.5666°N 121.4686°W,"Sacramento ( SAK-rə-MEN-toh; Spanish: [sakɾaˈmento]) is the capital city of the U.S. state of California and the seat of Sacramento County. Located at the confluence of the Sacramento River and the American River in Northern California's Sacramento Valley, Sacramento's estimated 2018 population of 501,334 makes it the sixth-largest city in California and the ninth largest capital in the United States. Sacramento is the seat of the California Legislature and the Governor of California, making it the state's political center and a hub for lobbying and think tanks. Sacramento is also the cultural and economic core of the Sacramento metropolitan area, which had 2010 population of 2,414,783, making it the fifth largest in California.Sacramento is the fastest-growing major city in California, owing to its status as a notable financial center on the West Coast and as a major educational hub, home of Sacramento State University and University of California, Davis. Similarly, Sacramento is a major center for the California healthcare industry, as the seat of Sutter Health, the world-renowned UC Davis Medical Center, and the UC Davis School of Medicine, and notable tourist destination in California, as the site of The California Museum, the Crocker Art Museum, California Hall of Fame, the California State Capitol Museum, and the Old Sacramento State Historic Park. Sacramento is known for its evolving contemporary culture, dubbed the most ""hipster city"" in California. In 2002, the Harvard University Civil Rights Project conducted for Time magazine named Sacramento ""America's Most Diverse City"".Before the arrival of the Spanish, the area was inhabited by the Nisenan people indigenous peoples of California. Spanish cavalryman Gabriel Moraga surveyed and named the Rio del Santísimo Sacramento (Sacramento River) in 1808, after the Blessed Sacrament, referring to the Eucharist in the Catholic Church. In 1839, Juan Bautista Alvarado, Mexican governor of Alta California granted the responsibility of colonizing the Sacramento Valley to Swiss-born, Mexican citizen John Augustus Sutter, who subsequently established Sutter's Fort and the settlement at the Rancho Nueva Helvetia. Following the American Conquest of California and the 1848 Treaty of Guadalupe-Hidalgo, the waterfront developed by Sutter began to be developed and incorporated in 1850 as the City of Sacramento. As a result of the California Gold Rush, Sacramento became a major commercial center and distribution point for Northern California, serving as the terminus for the Pony Express and the First Transcontinental Railroad.", ﻿38.5666,121.4686
37,Atlanta,Georgia,498044,420003,+18.58,133.5  ,345.8 ,"3,539 ","1,366", ﻿33.7629°N 84.4227°W,"Atlanta () is the capital and most populous city in the U.S. state of Georgia. With an estimated 2017 population of 486,290, it is also the 38th most-populous city in the United States. The city serves as the cultural and economic center of the Atlanta metropolitan area, home to 5.8 million people and the ninth-largest metropolitan area in the nation. Atlanta is the seat of Fulton County, the most populous county in Georgia.  A small portion of the city extends eastward into neighboring DeKalb County.
Atlanta was originally founded as the terminating stop of a major state-sponsored railroad. With rapid expansion, however, it soon became the convergence point between multiple railroads, spurring its rapid growth. The city's name derives from that of the Western and Atlantic Railroad's local depot, signifying the town's growing reputation as a transportation hub. During the American Civil War, the city was almost entirely burned to the ground in General William T. Sherman's famous March to the Sea. However, the city rose from its ashes and quickly became a national center of commerce and the unofficial capital of the ""New South"".  During the 1950s and 1960s, Atlanta became a major organizing center of the civil rights movement, with Dr. Martin Luther King Jr., Ralph David Abernathy, and many other locals playing major roles in the movement's leadership. During the modern era, Atlanta has attained international prominence as a major air transportation hub, with Hartsfield–Jackson Atlanta International Airport being the world's busiest airport by passenger traffic since 1998.Atlanta is rated as a ""beta(+)"" world city that exerts a moderate impact on global commerce, finance, research, technology, education, media, art, and entertainment. It ranks in the top twenty among world cities and 10th in the nation with a gross domestic product (GDP) of $385 billion. Atlanta's economy is considered diverse, with dominant sectors that include transportation, logistics, professional and business services, media operations, medical services, and information technology. Atlanta has topographic features that include rolling hills and dense tree coverage, earning it the nickname of ""the city in a forest."" Revitalization of Atlanta's neighborhoods, initially spurred by the 1996 Summer Olympics, has intensified in the 21st century, altering the city's demographics, politics, aesthetics, and culture.", ﻿33.7629,84.4227
38,Kansas City,Missouri,491918,459787,+6.99,315.0  ,815.8 ,"1,528 ",590, ﻿39.1251°N 94.5510°W,"The Kansas City metropolitan area is a 14 county metropolitan area anchored by Kansas City, Missouri, and straddling the border between the U.S. states of Missouri and Kansas. With a population of 2,104,509, it ranks as the second largest metropolitan area centered in Missouri (after Greater St. Louis). Alongside Kansas City, the area includes a number of other cities and suburbs, the largest being Overland Park, Kansas; Kansas City, Kansas; Olathe, Kansas; and Independence, Missouri; each over 100,000 in population. The Mid-America Regional Council (MARC) serves as the Council of Governments and the Metropolitan Planning Organization for the area.", ﻿39.1251,94.5510
39,Colorado Springs,Colorado,472688,416427,+13.51,195.6  ,506.6 ,"2,378 ",918, ﻿38.8673°N 104.7607°W,"Colorado Springs is a home rule municipality that is the largest city by area in Colorado as well as the county seat and the most populous municipality of El Paso County, Colorado, United States. Colorado Springs is located in the east central portion of the state. It is situated on Fountain Creek and is located 60 miles (97 km) south of the Colorado State Capitol in Denver.
At 6,035 feet (1,839 m) the city stands over 1 mile (1.6 km) above sea level, though some areas of the city are significantly higher and lower. Colorado Springs is situated near the base of Pikes Peak, which rises 14,115 feet (4,302 m) above sea level on the eastern edge of the Southern Rocky Mountains. The city is home to 24 national governing bodies of sport, including the United States Olympic Committee, the United States Olympic Training Center, and USA Hockey.
The city had an estimated population of 465,101 in 2016, and a metro population of approximately 712,000, ranking as the second most populous city in the state of Colorado, behind Denver, and the 42nd most populous city in the United States. The Colorado Springs, CO Metropolitan Statistical Area had an estimated population of 712,327 in 2016. The city is included in the Front Range Urban Corridor, an oblong region of urban population along the Front Range of the Rocky Mountains in Colorado and Wyoming, generally following the path of Interstate 25 in both states.
The city covers 194.9 square miles (505 km2), making it the most extensive municipality in Colorado. 
In 2018, Colorado Springs received several accolades:  U.S. News named Colorado Springs the number one most desirable place to live in the United States, and number two on their list of the 125 Best Places to Live in the USA.  The Metropolitan Policy Program at Brookings found that Colorado Springs was the fastest growing city for Millennials.  Thumbtack's annual Small Business Friendliness Survey found Colorado Springs to be the number four most business friendly city in the country.", ﻿38.8673,104.7607
40,Miami,Florida,470914,399457,+17.89,36.0  ,93.2 ,"12,599 ","4,865", ﻿25.7752°N 80.2086°W,"Miami, officially the City of Miami, is the cultural, economic and financial center of South Florida. Miami is the seat of Miami-Dade County, the most populous county in Florida. The city covers an area of about 56.6 square miles (147 km2), between the Everglades to the west and Biscayne Bay on the east; with a 2018 estimated population of 470,914, Miami is the sixth most densely populated major city in the United States. The Miami metropolitan area is home to 6.1 million people and the seventh-largest metropolitan area in the nation. Miami's metro area is the second-most populous metropolis in the southeastern United States and fourth-largest urban area in the U.S. Miami has the third tallest skyline in the United States with over 300 high-rises, 80 of which stand taller than 400 feet.
Miami is a major center, and a leader in finance, commerce, culture, media, entertainment, the arts, and international trade. The Miami Metropolitan Area is by far the largest urban economy in Florida and the 12th largest in the United States with a GDP of $344.9 billion as of 2017. In 2012, Miami was classified as an Alpha − level world city in the World Cities Study Group's inventory. In 2010, Miami ranked seventh in the United States and 33rd among global cities in terms of business activity, human capital, information exchange, cultural experience, and political engagement. In 2008, Forbes magazine ranked Miami ""America's Cleanest City"", for its year-round good air quality, vast green spaces, clean drinking water, clean streets, and citywide recycling programs. According to a 2009 UBS study of 73 world cities, Miami was ranked as the richest city in the United States, and the world's seventh-richest city in terms of purchasing power. Miami is nicknamed the ""Capital of Latin America"" and is the largest city with a Cuban-American plurality.Greater Downtown Miami has one of the largest concentrations of international banks in the United States, and is home to many large national and international companies. The Civic Center is a major center for hospitals, research institutes, medical centers, and biotechnology industries. For more than two decades, the Port of Miami, known as the ""Cruise Capital of the World"", has been the number one cruise passenger port in the world. It accommodates some of the world's largest cruise ships and operations, and is the busiest port in both passenger traffic and cruise lines. Metropolitan Miami is also a major tourism hub in the southeastern U.S. for international visitors, ranking number two in the country after New York City.", ﻿25.7752,80.2086
41,Raleigh,North Carolina,469298,403892,+16.19,145.1  ,375.8 ,"3,163 ","1,221", ﻿35.8306°N 78.6418°W,"Raleigh (; RAH-lee) is the capital of the state of North Carolina and the seat of Wake County in the United States. Raleigh is the second-largest city in the state, after Charlotte. Raleigh is known as the ""City of Oaks"" for its many oak trees, which line the streets in the heart of the city. The city covers a land area of 142.8 square miles (370 km2). The U.S. Census Bureau estimated the city's population as 479,332 as of July 1, 2018. It is one of the fastest-growing cities in the country. The city of Raleigh is named after Sir Walter Raleigh, who established the lost Roanoke Colony in present-day Dare County.
Raleigh is home to North Carolina State University (NC State) and is part of Research Triangle Park (RTP), together with Durham (home of Duke University and North Carolina Central University) and Chapel Hill (home of the University of North Carolina at Chapel Hill). The  ""Triangle"" nickname originated after the 1959 creation of the Research Triangle Park, located in Durham and Wake counties, among the three cities and their universities. The  Research Triangle region  encompasses the U.S. Census Bureau's Raleigh-Durham-Chapel Hill Combined Statistical Area (CSA), which had an estimated population of 2,037,430 in 2013. The Raleigh metropolitan statistical area had an estimated population of 1,214,516 in 2013.
Most of Raleigh is located within Wake County, with a very small portion extending into Durham County. The towns of Cary, Morrisville, Garner, Clayton, Wake Forest, Apex, Holly Springs, Fuquay-Varina, Knightdale, Wendell, Zebulon, and Rolesville are some of Raleigh's primary nearby suburbs and satellite towns.
Raleigh is an early example in the United States of a planned city. Following the American Revolutionary War when the US gained independence, this was chosen as the site of the state capital in 1788 and incorporated in 1792 as such. The city was originally laid out in a grid pattern with the North Carolina State Capitol in Union Square at the center. During the American Civil War, the city was spared from any significant battle. It fell to the Union in the closing days of the war, and struggled with the economic hardships in the postwar period related to the reconstitution of labor markets, over-reliance on agriculture, and the social unrest of the Reconstruction Era. Following the establishment of the Research Triangle Park (RTP) in 1959, several tens of thousands of jobs were created in the fields of science and technology, and it became one of the fastest-growing communities in the United States by the early 21st century.", ﻿35.8306,78.6418
